Data_Type,Variable_Name,Variable_Start,Variable_End,Variable_Length,Variable_Details_1,Variable_Details_2,Variable_Details_3,Variable_Details_4
byte,sh10a_09,,,0,Men age 15+,,,
byte,sh10a_10,,,0,Men age 15+,,,
byte,sh10a_11,,,0,Men age 15+,,,
byte,sh10a_12,,,0,Men age 15+,,,
byte,sh10a_13,,,0,Men age 15+,,,
byte,sh10a_14,,,0,Men age 15+,,,
byte,sh10a_15,,,0,Men age 15+,,,
byte,sh10a_16,,,0,Men age 15+,,,
byte,sh10a_17,,,0,Men age 15+,,,
byte,sh10a_18,,,0,Men age 15+,,,
byte,sh10a_19,,,0,Men age 15+,,,
byte,sh10a_20,,,0,Men age 15+,,,
byte,sh10a_21,,,0,Men age 15+,,,
byte,sh10a_22,,,0,Men age 15+,,,
byte,sh10a_23,,,0,Men age 15+,,,
byte,sh10a_24,,,0,Men age 15+,,,
byte,sh10a_25,,,0,Men age 15+,,,
byte,sh10a_26,,,0,Men age 15+,,,
byte,sh10a_27,,,0,Men age 15+,,,
byte,sh10a_28,,,0,Men age 15+,,,
byte,sh10a_29,,,0,Men age 15+,,,
byte,sh10a_30,,,0,Men age 15+,,,
byte,sh10a_31,,,0,Men age 15+,,,
byte,sh10a_32,,,0,Men age 15+,,,
byte,sh10a_33,,,0,Men age 15+,,,
byte,sh10a_34,,,0,Men age 15+,,,
byte,sh10a_35,,,0,Men age 15+,,,
byte,sh17_01,,,0,Currently attending preschool,,,
byte,sh17_02,,,0,Currently attending preschool,,,
byte,sh17_03,,,0,Currently attending preschool,,,
byte,sh17_04,,,0,Currently attending preschool,,,
byte,sh17_05,,,0,Currently attending preschool,,,
byte,sh17_06,,,0,Currently attending preschool,,,
byte,sh17_07,,,0,Currently attending preschool,,,
byte,sh17_08,,,0,Currently attending preschool,,,
byte,sh17_09,,,0,Currently attending preschool,,,
byte,sh17_10,,,0,Currently attending preschool,,,
byte,sh17_11,,,0,Currently attending preschool,,,
byte,sh17_12,,,0,Currently attending preschool,,,
byte,sh17_13,,,0,Currently attending preschool,,,
byte,sh17_14,,,0,Currently attending preschool,,,
byte,sh17_15,,,0,Currently attending preschool,,,
byte,sh17_16,,,0,Currently attending preschool,,,
byte,sh17_17,,,0,Currently attending preschool,,,
byte,sh17_18,,,0,Currently attending preschool,,,
byte,sh17_19,,,0,Currently attending preschool,,,
byte,sh17_20,,,0,Currently attending preschool,,,
byte,sh17_21,,,0,Currently attending preschool,,,
byte,sh17_22,,,0,Currently attending preschool,,,
byte,sh17_23,,,0,Currently attending preschool,,,
byte,sh17_24,,,0,Currently attending preschool,,,
byte,sh17_25,,,0,Currently attending preschool,,,
byte,sh17_26,,,0,Currently attending preschool,,,
byte,sh17_27,,,0,Currently attending preschool,,,
byte,sh17_28,,,0,Currently attending preschool,,,
byte,sh17_29,,,0,Currently attending preschool,,,
byte,sh17_30,,,0,Currently attending preschool,,,
byte,sh17_31,,,0,Currently attending preschool,,,
byte,sh17_32,,,0,Currently attending preschool,,,
byte,sh17_33,,,0,Currently attending preschool,,,
byte,sh17_34,,,0,Currently attending preschool,,,
byte,sh17_35,,,0,Currently attending preschool,,,
byte,sh18_01,,,0,Type of preschool,,,
byte,sh18_02,,,0,Type of preschool,,,
byte,sh18_03,,,0,Type of preschool,,,
byte,sh18_04,,,0,Type of preschool,,,
byte,sh18_05,,,0,Type of preschool,,,
byte,sh18_06,,,0,Type of preschool,,,
byte,sh18_07,,,0,Type of preschool,,,
byte,sh18_08,,,0,Type of preschool,,,
byte,sh18_09,,,0,Type of preschool,,,
byte,sh18_10,,,0,Type of preschool,,,
byte,sh18_11,,,0,Type of preschool,,,
byte,sh18_12,,,0,Type of preschool,,,
byte,sh18_13,,,0,Type of preschool,,,
byte,sh18_14,,,0,Type of preschool,,,
byte,sh18_15,,,0,Type of preschool,,,
byte,sh18_16,,,0,Type of preschool,,,
byte,sh18_17,,,0,Type of preschool,,,
byte,sh18_18,,,0,Type of preschool,,,
byte,sh18_19,,,0,Type of preschool,,,
byte,sh18_20,,,0,Type of preschool,,,
byte,sh18_21,,,0,Type of preschool,,,
byte,sh18_22,,,0,Type of preschool,,,
byte,sh18_23,,,0,Type of preschool,,,
byte,sh18_24,,,0,Type of preschool,,,
byte,sh18_25,,,0,Type of preschool,,,
byte,sh18_26,,,0,Type of preschool,,,
byte,sh18_27,,,0,Type of preschool,,,
byte,sh18_28,,,0,Type of preschool,,,
byte,sh18_29,,,0,Type of preschool,,,
byte,sh18_30,,,0,Type of preschool,,,
byte,sh18_31,,,0,Type of preschool,,,
byte,sh18_32,,,0,Type of preschool,,,
byte,sh18_33,,,0,Type of preschool,,,
byte,sh18_34,,,0,Type of preschool,,,
byte,sh18_35,,,0,Type of preschool,,,
byte,sh20_01,,,0,Highest grade completed,,,
byte,sh20_02,,,0,Highest grade completed,,,
byte,sh20_03,,,0,Highest grade completed,,,
byte,sh20_04,,,0,Highest grade completed,,,
byte,sh20_05,,,0,Highest grade completed,,,
byte,sh20_06,,,0,Highest grade completed,,,
byte,sh20_07,,,0,Highest grade completed,,,
byte,sh20_08,,,0,Highest grade completed,,,
byte,sh20_09,,,0,Highest grade completed,,,
byte,sh20_10,,,0,Highest grade completed,,,
byte,sh20_11,,,0,Highest grade completed,,,
byte,sh20_12,,,0,Highest grade completed,,,
byte,sh20_13,,,0,Highest grade completed,,,
byte,sh20_14,,,0,Highest grade completed,,,
byte,sh20_15,,,0,Highest grade completed,,,
byte,sh20_16,,,0,Highest grade completed,,,
byte,sh20_17,,,0,Highest grade completed,,,
byte,sh20_18,,,0,Highest grade completed,,,
byte,sh20_19,,,0,Highest grade completed,,,
byte,sh20_20,,,0,Highest grade completed,,,
byte,sh20_21,,,0,Highest grade completed,,,
byte,sh20_22,,,0,Highest grade completed,,,
byte,sh20_23,,,0,Highest grade completed,,,
byte,sh20_24,,,0,Highest grade completed,,,
byte,sh20_25,,,0,Highest grade completed,,,
byte,sh20_26,,,0,Highest grade completed,,,
byte,sh20_27,,,0,Highest grade completed,,,
byte,sh20_28,,,0,Highest grade completed,,,
byte,sh20_29,,,0,Highest grade completed,,,
byte,sh20_30,,,0,Highest grade completed,,,
byte,sh20_31,,,0,Highest grade completed,,,
byte,sh20_32,,,0,Highest grade completed,,,
byte,sh20_33,,,0,Highest grade completed,,,
byte,sh20_34,,,0,Highest grade completed,,,
byte,sh20_35,,,0,Highest grade completed,,,
byte,sh23_01,,,0,Main reason is not attending school,,,
byte,sh23_02,,,0,Main reason is not attending school,,,
byte,sh23_03,,,0,Main reason is not attending school,,,
byte,sh23_04,,,0,Main reason is not attending school,,,
byte,sh23_05,,,0,Main reason is not attending school,,,
byte,sh23_06,,,0,Main reason is not attending school,,,
byte,sh23_07,,,0,Main reason is not attending school,,,
byte,sh23_08,,,0,Main reason is not attending school,,,
byte,sh23_09,,,0,Main reason is not attending school,,,
byte,sh23_10,,,0,Main reason is not attending school,,,
byte,sh23_11,,,0,Main reason is not attending school,,,
byte,sh23_12,,,0,Main reason is not attending school,,,
byte,sh23_13,,,0,Main reason is not attending school,,,
byte,sh23_14,,,0,Main reason is not attending school,,,
byte,sh23_15,,,0,Main reason is not attending school,,,
byte,sh23_16,,,0,Main reason is not attending school,,,
byte,sh23_17,,,0,Main reason is not attending school,,,
byte,sh23_18,,,0,Main reason is not attending school,,,
byte,sh23_19,,,0,Main reason is not attending school,,,
byte,sh23_20,,,0,Main reason is not attending school,,,
byte,sh23_21,,,0,Main reason is not attending school,,,
byte,sh23_22,,,0,Main reason is not attending school,,,
byte,sh23_23,,,0,Main reason is not attending school,,,
byte,sh23_24,,,0,Main reason is not attending school,,,
byte,sh23_25,,,0,Main reason is not attending school,,,
byte,sh23_26,,,0,Main reason is not attending school,,,
byte,sh23_27,,,0,Main reason is not attending school,,,
byte,sh23_28,,,0,Main reason is not attending school,,,
byte,sh23_29,,,0,Main reason is not attending school,,,
byte,sh23_30,,,0,Main reason is not attending school,,,
byte,sh23_31,,,0,Main reason is not attending school,,,
byte,sh23_32,,,0,Main reason is not attending school,,,
byte,sh23_33,,,0,Main reason is not attending school,,,
byte,sh23_34,,,0,Main reason is not attending school,,,
byte,sh23_35,,,0,Main reason is not attending school,,,
byte,sh24_01,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_02,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_03,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_04,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_05,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_06,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_07,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_08,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_09,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_10,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_11,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_12,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_13,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_14,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_15,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_16,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_17,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_18,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_19,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_20,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_21,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_22,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_23,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_24,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_25,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_26,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_27,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_28,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_29,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_30,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_31,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_32,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_33,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_34,,,0,Aadhaar card or Aadhaar number,,,
byte,sh24_35,,,0,Aadhaar card or Aadhaar number,,,
byte,sh25_01,,,0,Smokes or uses tobacco,,,
byte,sh25_02,,,0,Smokes or uses tobacco,,,
byte,sh25_03,,,0,Smokes or uses tobacco,,,
byte,sh25_04,,,0,Smokes or uses tobacco,,,
byte,sh25_05,,,0,Smokes or uses tobacco,,,
byte,sh25_06,,,0,Smokes or uses tobacco,,,
byte,sh25_07,,,0,Smokes or uses tobacco,,,
byte,sh25_08,,,0,Smokes or uses tobacco,,,
byte,sh25_09,,,0,Smokes or uses tobacco,,,
byte,sh25_10,,,0,Smokes or uses tobacco,,,
byte,sh25_11,,,0,Smokes or uses tobacco,,,
byte,sh25_12,,,0,Smokes or uses tobacco,,,
byte,sh25_13,,,0,Smokes or uses tobacco,,,
byte,sh25_14,,,0,Smokes or uses tobacco,,,
byte,sh25_15,,,0,Smokes or uses tobacco,,,
byte,sh25_16,,,0,Smokes or uses tobacco,,,
byte,sh25_17,,,0,Smokes or uses tobacco,,,
byte,sh25_18,,,0,Smokes or uses tobacco,,,
byte,sh25_19,,,0,Smokes or uses tobacco,,,
byte,sh25_20,,,0,Smokes or uses tobacco,,,
byte,sh25_21,,,0,Smokes or uses tobacco,,,
byte,sh25_22,,,0,Smokes or uses tobacco,,,
byte,sh25_23,,,0,Smokes or uses tobacco,,,
byte,sh25_24,,,0,Smokes or uses tobacco,,,
byte,sh25_25,,,0,Smokes or uses tobacco,,,
byte,sh25_26,,,0,Smokes or uses tobacco,,,
byte,sh25_27,,,0,Smokes or uses tobacco,,,
byte,sh25_28,,,0,Smokes or uses tobacco,,,
byte,sh25_29,,,0,Smokes or uses tobacco,,,
byte,sh25_30,,,0,Smokes or uses tobacco,,,
byte,sh25_31,,,0,Smokes or uses tobacco,,,
byte,sh25_32,,,0,Smokes or uses tobacco,,,
byte,sh25_33,,,0,Smokes or uses tobacco,,,
byte,sh25_34,,,0,Smokes or uses tobacco,,,
byte,sh25_35,,,0,Smokes or uses tobacco,,,
byte,sh26_01,,,0,Drinks alcohol,,,
byte,sh26_02,,,0,Drinks alcohol,,,
byte,sh26_03,,,0,Drinks alcohol,,,
byte,sh26_04,,,0,Drinks alcohol,,,
byte,sh26_05,,,0,Drinks alcohol,,,
byte,sh26_06,,,0,Drinks alcohol,,,
byte,sh26_07,,,0,Drinks alcohol,,,
byte,sh26_08,,,0,Drinks alcohol,,,
byte,sh26_09,,,0,Drinks alcohol,,,
byte,sh26_10,,,0,Drinks alcohol,,,
byte,sh26_11,,,0,Drinks alcohol,,,
byte,sh26_12,,,0,Drinks alcohol,,,
byte,sh26_13,,,0,Drinks alcohol,,,
byte,sh26_14,,,0,Drinks alcohol,,,
byte,sh26_15,,,0,Drinks alcohol,,,
byte,sh26_16,,,0,Drinks alcohol,,,
byte,sh26_17,,,0,Drinks alcohol,,,
byte,sh26_18,,,0,Drinks alcohol,,,
byte,sh26_19,,,0,Drinks alcohol,,,
byte,sh26_20,,,0,Drinks alcohol,,,
byte,sh26_21,,,0,Drinks alcohol,,,
byte,sh26_22,,,0,Drinks alcohol,,,
byte,sh26_23,,,0,Drinks alcohol,,,
byte,sh26_24,,,0,Drinks alcohol,,,
byte,sh26_25,,,0,Drinks alcohol,,,
byte,sh26_26,,,0,Drinks alcohol,,,
byte,sh26_27,,,0,Drinks alcohol,,,
byte,sh26_28,,,0,Drinks alcohol,,,
byte,sh26_29,,,0,Drinks alcohol,,,
byte,sh26_30,,,0,Drinks alcohol,,,
byte,sh26_31,,,0,Drinks alcohol,,,
byte,sh26_32,,,0,Drinks alcohol,,,
byte,sh26_33,,,0,Drinks alcohol,,,
byte,sh26_34,,,0,Drinks alcohol,,,
byte,sh26_35,,,0,Drinks alcohol,,,
byte,sh29_01,,,0,Suffers from TB,,,
byte,sh29_02,,,0,Suffers from TB,,,
byte,sh29_03,,,0,Suffers from TB,,,
byte,sh29_04,,,0,Suffers from TB,,,
byte,sh29_05,,,0,Suffers from TB,,,
byte,sh29_06,,,0,Suffers from TB,,,
byte,sh29_07,,,0,Suffers from TB,,,
byte,sh29_08,,,0,Suffers from TB,,,
byte,sh29_09,,,0,Suffers from TB,,,
byte,sh29_10,,,0,Suffers from TB,,,
byte,sh29_11,,,0,Suffers from TB,,,
byte,sh29_12,,,0,Suffers from TB,,,
byte,sh29_13,,,0,Suffers from TB,,,
byte,sh29_14,,,0,Suffers from TB,,,
byte,sh29_15,,,0,Suffers from TB,,,
byte,sh29_16,,,0,Suffers from TB,,,
byte,sh29_17,,,0,Suffers from TB,,,
byte,sh29_18,,,0,Suffers from TB,,,
byte,sh29_19,,,0,Suffers from TB,,,
byte,sh29_20,,,0,Suffers from TB,,,
byte,sh29_21,,,0,Suffers from TB,,,
byte,sh29_22,,,0,Suffers from TB,,,
byte,sh29_23,,,0,Suffers from TB,,,
byte,sh29_24,,,0,Suffers from TB,,,
byte,sh29_25,,,0,Suffers from TB,,,
byte,sh29_26,,,0,Suffers from TB,,,
byte,sh29_27,,,0,Suffers from TB,,,
byte,sh29_28,,,0,Suffers from TB,,,
byte,sh29_29,,,0,Suffers from TB,,,
byte,sh29_30,,,0,Suffers from TB,,,
byte,sh29_31,,,0,Suffers from TB,,,
byte,sh29_32,,,0,Suffers from TB,,,
byte,sh29_33,,,0,Suffers from TB,,,
byte,sh29_34,,,0,Suffers from TB,,,
byte,sh29_35,,,0,Suffers from TB,,,
byte,sh29aa_01,,,0,Location where treated for TB,,,
byte,sh29aa_02,,,0,Location where treated for TB,,,
byte,sh29aa_03,,,0,Location where treated for TB,,,
byte,sh29aa_04,,,0,Location where treated for TB,,,
byte,sh29aa_05,,,0,Location where treated for TB,,,
byte,sh29aa_06,,,0,Location where treated for TB,,,
byte,sh29aa_07,,,0,Location where treated for TB,,,
byte,sh29aa_08,,,0,Location where treated for TB,,,
byte,sh29aa_09,,,0,Location where treated for TB,,,
byte,sh29aa_10,,,0,Location where treated for TB,,,
byte,sh29aa_11,,,0,Location where treated for TB,,,
byte,sh29aa_12,,,0,Location where treated for TB,,,
byte,sh29aa_13,,,0,Location where treated for TB,,,
byte,sh29aa_14,,,0,Location where treated for TB,,,
byte,sh29aa_15,,,0,Location where treated for TB,,,
byte,sh29aa_16,,,0,Location where treated for TB,,,
byte,sh29aa_17,,,0,Location where treated for TB,,,
byte,sh29aa_18,,,0,Location where treated for TB,,,
byte,sh29aa_19,,,0,Location where treated for TB,,,
byte,sh29aa_20,,,0,Location where treated for TB,,,
byte,sh29aa_21,,,0,Location where treated for TB,,,
byte,sh29aa_22,,,0,Location where treated for TB,,,
byte,sh29aa_23,,,0,Location where treated for TB,,,
byte,sh29aa_24,,,0,Location where treated for TB,,,
byte,sh29aa_25,,,0,Location where treated for TB,,,
byte,sh29aa_26,,,0,Location where treated for TB,,,
byte,sh29aa_27,,,0,Location where treated for TB,,,
byte,sh29aa_28,,,0,Location where treated for TB,,,
byte,sh29aa_29,,,0,Location where treated for TB,,,
byte,sh29aa_30,,,0,Location where treated for TB,,,
byte,sh29aa_31,,,0,Location where treated for TB,,,
byte,sh29aa_32,,,0,Location where treated for TB,,,
byte,sh29aa_33,,,0,Location where treated for TB,,,
byte,sh29aa_34,,,0,Location where treated for TB,,,
byte,sh29aa_35,,,0,Location where treated for TB,,,
byte,shb14a_01,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_02,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_03,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_04,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_05,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_06,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_07,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_08,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_09,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_10,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_11,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_12,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_13,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_14,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_15,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_16,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_17,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_18,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_19,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_20,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_21,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_22,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_23,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_24,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_25,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_26,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_27,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_28,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_29,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_30,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_31,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_32,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_33,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_34,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14a_35,,,0,30 minutes prior to BP measure: eaten,,,
byte,shb14b_01,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_02,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_03,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_04,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_05,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_06,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_07,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_08,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_09,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_10,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_11,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_12,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_13,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_14,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_15,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_16,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_17,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_18,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_19,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_20,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_21,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_22,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_23,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_24,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_25,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_26,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_27,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_28,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_29,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_30,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_31,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_32,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_33,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_34,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14b_35,,,0,30 minutes prior to BP measure: had coffee,"tea""",,
byte,shb14c_01,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_02,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_03,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_04,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_05,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_06,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_07,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_08,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_09,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_10,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_11,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_12,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_13,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_14,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_15,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_16,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_17,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_18,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_19,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_20,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_21,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_22,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_23,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_24,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_25,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_26,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_27,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_28,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_29,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_30,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_31,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_32,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_33,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_34,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14c_35,,,0,30 minutes prior to BP measure: smoked any tobacco product,,,
byte,shb14d_01,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_02,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_03,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_04,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_05,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_06,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_07,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_08,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_09,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_10,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_11,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_12,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_13,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_14,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_15,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_16,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_17,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_18,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_19,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_20,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_21,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_22,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_23,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_24,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_25,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_26,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_27,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
byte,shb14d_28,,,0,30 minutes prior to BP measure: use any other type of tobacco,,,
